YYYYMM,Hydro,Coal,Gas,Diesel,Nuclear,RES,Total
196910.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
196911.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
196912.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197001.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197002.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197003.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197004.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197005.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197006.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197007.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197008.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197009.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197010.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197011.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197012.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197101.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197102.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197103.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197104.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197105.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197106.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197107.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197108.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197109.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197110.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197111.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197112.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197201.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197202.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197203.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197204.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197205.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197206.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197207.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197208.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197209.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197210.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197211.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197212.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197301.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197302.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197303.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197304.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197305.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197306.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
